Interaction.identifier_partner,Ecological.interaction.type,OTU,Lineage,Reference
6_1,symb,b4d4f0fbe585ea2c9c4475566a096380,Eukaryota|Hacrobia|Haptophyta|Prymnesiophyceae|Phaeocystales|Phaeocystaceae|Phaeocystis|Phaeocystis+cordata,10.1073/pnas.1212303109
6_1,symb,38b73295285fc2e17a8f6915533541cf,Eukaryota|Hacrobia|Haptophyta|Prymnesiophyceae|Phaeocystales|Phaeocystaceae|Phaeocystis,10.1073/pnas.1212303109
6_1,symb,4776e00510f4473625774f703d437f49,Eukaryota|Hacrobia|Haptophyta|Prymnesiophyceae|Phaeocystales|Phaeocystaceae|Phaeocystis,10.1073/pnas.1212303109
6_2,symb,310f4f4349de7136ae0196cc9457b8c2,Eukaryota|Rhizaria|Radiolaria|Acantharea|Arthracanthida-Symphyacanthida|Arthracanthida-Symphyacanthida_X|Acanthometra|Acanthometra+sp.,10.1073/pnas.1212303109
6_2,symb,c629650e638792d313510a5b0d76ba8b,Eukaryota|Rhizaria|Radiolaria|Acantharea|Arthracanthida-Symphyacanthida|Arthracanthida-Symphyacanthida_X|Acanthometra|Acanthometra+sp.,10.1073/pnas.1212303109
6_2,symb,a553c8944f7a44db1a8961063e6431c4,Eukaryota|Rhizaria|Radiolaria|Acantharea|Arthracanthida-Symphyacanthida|Arthracanthida-Symphyacanthida_X|Acanthometra|Acanthometra+sp.,10.1073/pnas.1212303109
6_2,symb,a0f06ff65c1f93a44c30b77e2275473e,Eukaryota|Rhizaria|Radiolaria|Acantharea|Arthracanthida-Symphyacanthida|Arthracanthida-Symphyacanthida_X|Acanthometra|Acanthometra+sp.,10.1073/pnas.1212303109
9_1,symb,b4d4f0fbe585ea2c9c4475566a096380,Eukaryota|Hacrobia|Haptophyta|Prymnesiophyceae|Phaeocystales|Phaeocystaceae|Phaeocystis|Phaeocystis+cordata,10.1073/pnas.1212303109
9_1,symb,38b73295285fc2e17a8f6915533541cf,Eukaryota|Hacrobia|Haptophyta|Prymnesiophyceae|Phaeocystales|Phaeocystaceae|Phaeocystis,10.1073/pnas.1212303109
9_1,symb,4776e00510f4473625774f703d437f49,Eukaryota|Hacrobia|Haptophyta|Prymnesiophyceae|Phaeocystales|Phaeocystaceae|Phaeocystis,10.1073/pnas.1212303109
9_2,symb,57b28ea4c5f03a2fad043e4e5a65a8c8,Eukaryota|Rhizaria|Radiolaria|Acantharea|Arthracanthida-Symphyacanthida|Arthracanthida-Symphyacanthida_X|Amphibelone|Amphibelone+anomala,10.1073/pnas.1212303109
9_2,symb,6af5180dad1ac66dfa635a739091def5,Eukaryota|Rhizaria|Radiolaria|Acantharea|Arthracanthida-Symphyacanthida|Arthracanthida-Symphyacanthida_X|Amphibelone,10.1073/pnas.1212303109
15_1,symb,b4d4f0fbe585ea2c9c4475566a096380,Eukaryota|Hacrobia|Haptophyta|Prymnesiophyceae|Phaeocystales|Phaeocystaceae|Phaeocystis|Phaeocystis+cordata,10.1073/pnas.1212303109
15_1,symb,38b73295285fc2e17a8f6915533541cf,Eukaryota|Hacrobia|Haptophyta|Prymnesiophyceae|Phaeocystales|Phaeocystaceae|Phaeocystis,10.1073/pnas.1212303109
15_1,symb,4776e00510f4473625774f703d437f49,Eukaryota|Hacrobia|Haptophyta|Prymnesiophyceae|Phaeocystales|Phaeocystaceae|Phaeocystis,10.1073/pnas.1212303109
15_2,symb,9ebbc4fad6527cea80bc7eb9b6655b6c,Eukaryota|Rhizaria|Radiolaria|Acantharea|Arthracanthida-Symphyacanthida|Arthracanthida-Symphyacanthida_X|Hexaconus|Hexaconus+serratus,10.1073/pnas.1212303109
15_2,symb,3d67d9da2019db28fa0b9d486a189c4f,Eukaryota|Rhizaria|Radiolaria|Acantharea|Arthracanthida-Symphyacanthida|Arthracanthida-Symphyacanthida_X|Hexaconus|Hexaconus+serratus,10.1073/pnas.1212303109
15_2,symb,82d3228dd88c3d28e14e967fda635744,Eukaryota|Rhizaria|Radiolaria|Acantharea|Arthracanthida-Symphyacanthida|Arthracanthida-Symphyacanthida_X|Hexaconus|Hexaconus+serratus,10.1073/pnas.1212303109
23_1,symb,603f2dca0a9af55fc13a5966c26016bc,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|16|Peridiniaceae|Scrippsiella_02|sp.,http://agris.fao.org/agris-search/search/display.do?f=1998/US/US98140.xml;US1997067057
23_2,symb,4077dd0358107a8bb7d2213700329d83,Eukaryota|Rhizaria|Radiolaria|Polycystinea|Collodaria-Nassellarida|Collodaria|Collozoum|Collozoum+serpentinum,http://agris.fao.org/agris-search/search/display.do?f=1998/US/US98140.xml;US1997067057
23_2,symb,a850a8501865b664c90bc2352d274656,Eukaryota|Rhizaria|Radiolaria|Polycystinea|Collodaria-Nassellarida|Collodaria|Collozoum|Collozoum+serpentinum,http://agris.fao.org/agris-search/search/display.do?f=1998/US/US98140.xml;US1997067057
23_2,symb,072b3480a3e06cc4c2b4f8a1326341d8,Eukaryota|Rhizaria|Radiolaria|Polycystinea|Collodaria-Nassellarida|Collodaria|Collozoum|Collozoum+serpentinum,http://agris.fao.org/agris-search/search/display.do?f=1998/US/US98140.xml;US1997067057
24_1,symb,603f2dca0a9af55fc13a5966c26016bc,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|16|Peridiniaceae|Scrippsiella_02|sp.,10.1023/A:1012710909023
24_2,symb,105c1450c09d4080da86431514444f49,Eukaryota|Rhizaria|Radiolaria|Polycystinea|Collodaria-Nassellarida|Collodaria|Thalassicolla|Thalassicolla+nucleata,10.1023/A:1012710909023
37_1,par,e6b0fc675dc403a2fd36d5cf9c8ed429,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|46|Blastodiniaceae|Blastodinium_06|mangini,10.3389/fmicb.2012.00305
37_1,par,cb6383e37ce8b527d145b7a00a478a76,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|26|Blastodiniaceae|Blastodinium_05|oviforme,10.3389/fmicb.2012.00305
37_1,par,b252750ed9e33119606dd588dc885f09,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|12|Blastodiniaceae|Blastodinium_02,10.3389/fmicb.2012.00305
37_1,par,c6037061f0d3a7af69095432a0e1e3c3,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|19|Blastodiniaceae|Blastodinium_03|sp.,10.3389/fmicb.2012.00305
37_1,par,c49d08a3c55b0de39e4e7d6b3712cfb5,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|19|Blastodiniaceae|Blastodinium_03|sp.,10.3389/fmicb.2012.00305
37_1,par,06978b9bf45d439ae8e5bc4adb931ef3,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|12|Blastodiniaceae|Blastodinium_02|inornatum,10.3389/fmicb.2012.00305
37_1,par,b97b6d96017caaf8ea42f60a15e37d01,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|19|Blastodiniaceae|Blastodinium_03|sp.,10.3389/fmicb.2012.00305
37_1,par,a452a54567091fe69144450eeb62da6d,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|46|Blastodiniaceae|Blastodinium_06|sp.,10.3389/fmicb.2012.00305
37_1,par,133bfba8e0a21a2c8827babc333c4313,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|26|Blastodiniaceae|Blastodinium_05|oviforme,10.3389/fmicb.2012.00305
37_2,par,334bda51241d993f8ff8874ecd5d5926,Eukaryota|Opisthokonta|Metazoa|Arthropoda|Crustacea|Maxillopoda|Copepoda|Cyclopoida|Oithona|Oithona+sp.,10.3389/fmicb.2012.00305
39_1,par,e6b0fc675dc403a2fd36d5cf9c8ed429,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|46|Blastodiniaceae|Blastodinium_06|mangini,10.3389/fmicb.2012.00305
39_1,par,cb6383e37ce8b527d145b7a00a478a76,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|26|Blastodiniaceae|Blastodinium_05|oviforme,10.3389/fmicb.2012.00305
39_1,par,b252750ed9e33119606dd588dc885f09,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|12|Blastodiniaceae|Blastodinium_02,10.3389/fmicb.2012.00305
39_1,par,c6037061f0d3a7af69095432a0e1e3c3,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|19|Blastodiniaceae|Blastodinium_03|sp.,10.3389/fmicb.2012.00305
39_1,par,c49d08a3c55b0de39e4e7d6b3712cfb5,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|19|Blastodiniaceae|Blastodinium_03|sp.,10.3389/fmicb.2012.00305
39_1,par,06978b9bf45d439ae8e5bc4adb931ef3,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|12|Blastodiniaceae|Blastodinium_02|inornatum,10.3389/fmicb.2012.00305
39_1,par,b97b6d96017caaf8ea42f60a15e37d01,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|19|Blastodiniaceae|Blastodinium_03|sp.,10.3389/fmicb.2012.00305
39_1,par,a452a54567091fe69144450eeb62da6d,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|46|Blastodiniaceae|Blastodinium_06|sp.,10.3389/fmicb.2012.00305
39_1,par,133bfba8e0a21a2c8827babc333c4313,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|26|Blastodiniaceae|Blastodinium_05|oviforme,10.3389/fmicb.2012.00305
39_2,par,64429a8ac281ea386dad49b5d4429053,Eukaryota|Opisthokonta|Metazoa|Arthropoda|Crustacea|Maxillopoda|Copepoda|Calanoida|Centropages|Centropages+furcatus,10.3389/fmicb.2012.00305
40_1,par,e6b0fc675dc403a2fd36d5cf9c8ed429,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|46|Blastodiniaceae|Blastodinium_06|mangini,10.3389/fmicb.2012.00305
40_1,par,cb6383e37ce8b527d145b7a00a478a76,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|26|Blastodiniaceae|Blastodinium_05|oviforme,10.3389/fmicb.2012.00305
40_1,par,b252750ed9e33119606dd588dc885f09,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|12|Blastodiniaceae|Blastodinium_02,10.3389/fmicb.2012.00305
40_1,par,c6037061f0d3a7af69095432a0e1e3c3,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|19|Blastodiniaceae|Blastodinium_03|sp.,10.3389/fmicb.2012.00305
40_1,par,c49d08a3c55b0de39e4e7d6b3712cfb5,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|19|Blastodiniaceae|Blastodinium_03|sp.,10.3389/fmicb.2012.00305
40_1,par,06978b9bf45d439ae8e5bc4adb931ef3,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|12|Blastodiniaceae|Blastodinium_02|inornatum,10.3389/fmicb.2012.00305
40_1,par,b97b6d96017caaf8ea42f60a15e37d01,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|19|Blastodiniaceae|Blastodinium_03|sp.,10.3389/fmicb.2012.00305
40_1,par,a452a54567091fe69144450eeb62da6d,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|46|Blastodiniaceae|Blastodinium_06|sp.,10.3389/fmicb.2012.00305
40_1,par,133bfba8e0a21a2c8827babc333c4313,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|26|Blastodiniaceae|Blastodinium_05|oviforme,10.3389/fmicb.2012.00305
40_2,par,e265c9b4be9a96618f4496ce4a44adbe,Eukaryota|Opisthokonta|Metazoa|Arthropoda|Crustacea|Maxillopoda|Copepoda|Cyclopoida|Corycaeus|Corycaeus+speciosus,10.3389/fmicb.2012.00305
48_1,par,e6b0fc675dc403a2fd36d5cf9c8ed429,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|46|Blastodiniaceae|Blastodinium_06|mangini,10.3389/fmicb.2012.00305
48_1,par,cb6383e37ce8b527d145b7a00a478a76,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|26|Blastodiniaceae|Blastodinium_05|oviforme,10.3389/fmicb.2012.00305
48_1,par,b252750ed9e33119606dd588dc885f09,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|12|Blastodiniaceae|Blastodinium_02,10.3389/fmicb.2012.00305
48_1,par,c6037061f0d3a7af69095432a0e1e3c3,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|19|Blastodiniaceae|Blastodinium_03|sp.,10.3389/fmicb.2012.00305
48_1,par,c49d08a3c55b0de39e4e7d6b3712cfb5,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|19|Blastodiniaceae|Blastodinium_03|sp.,10.3389/fmicb.2012.00305
48_1,par,06978b9bf45d439ae8e5bc4adb931ef3,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|12|Blastodiniaceae|Blastodinium_02|inornatum,10.3389/fmicb.2012.00305
48_1,par,b97b6d96017caaf8ea42f60a15e37d01,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|19|Blastodiniaceae|Blastodinium_03|sp.,10.3389/fmicb.2012.00305
48_1,par,a452a54567091fe69144450eeb62da6d,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|46|Blastodiniaceae|Blastodinium_06|sp.,10.3389/fmicb.2012.00305
48_1,par,133bfba8e0a21a2c8827babc333c4313,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|26|Blastodiniaceae|Blastodinium_05|oviforme,10.3389/fmicb.2012.00305
48_2,par,2edf6e8450b4593120545ca7a42b5a32,Eukaryota|Opisthokonta|Metazoa|Arthropoda|Crustacea|Maxillopoda|Copepoda|Calanoida|Acartia|Acartia+negligens,10.3389/fmicb.2012.00305
68_1,par,12da4e74fe8387c3ca438fc3c13d1df6,Eukaryota|Alveolata|Dinophyta|Syndiniales|MALV-II|MALV-II-Clade-2|Amoebophrya|Amoebophrya+ceratii,10.1111/j.1550-7408.2002.tb00230.x;10.1016/j.protis.2010.12.001
68_1,par,2a127ace7b93968535214917d4a5c780,Eukaryota|Alveolata|Dinophyta|Syndiniales|MALV-II|MALV-II-Clade-1|Amoebophrya|Amoebophrya+ceratii,10.1111/j.1550-7408.2002.tb00230.x;10.1016/j.protis.2010.12.001
68_1,par,45b350a5288159707b8b3ddcda9af6e5,Eukaryota|Alveolata|Dinophyta|Syndiniales|MALV-II|MALV-II-Clade-4|Amoebophrya|Amoebophrya+sp.,10.1111/j.1550-7408.2002.tb00230.x;10.1016/j.protis.2010.12.001
68_1,par,81dc368581231d15d5c665d597e367ef,Eukaryota|Alveolata|Dinophyta|Syndiniales|MALV-II|MALV-II-Clade-4|Amoebophrya|Amoebophrya+ceratii,10.1111/j.1550-7408.2002.tb00230.x;10.1016/j.protis.2010.12.001
68_1,par,7152e6195bfd282280dc66337d450dbf,Eukaryota|Alveolata|Dinophyta|Syndiniales|MALV-II|MALV-II-Clade-33|Amoebophrya|Amoebophrya+sp.,10.1111/j.1550-7408.2002.tb00230.x;10.1016/j.protis.2010.12.001
68_1,par,5bd2f50592288fa9be62e80b181928ca,Eukaryota|Alveolata|Dinophyta|Syndiniales|MALV-II|MALV-II-Clade-3|Amoebophrya,10.1111/j.1550-7408.2002.tb00230.x;10.1016/j.protis.2010.12.001
68_1,par,fde8a13324e2c85336188316fc2fa2c5,Eukaryota|Alveolata|Dinophyta|Syndiniales|MALV-II|MALV-II-Clade-4|Amoebophrya|Amoebophrya+ceratii,10.1111/j.1550-7408.2002.tb00230.x;10.1016/j.protis.2010.12.001
68_1,par,da0d4686c07a5c6831f2ef840adc8b2d,Eukaryota|Alveolata|Dinophyta|Syndiniales|MALV-II|MALV-II-Clade-4|Amoebophrya|Amoebophrya+ceratii,10.1111/j.1550-7408.2002.tb00230.x;10.1016/j.protis.2010.12.001
68_1,par,9a501a2827d6ce139ce9ad4cfb249366,Eukaryota|Alveolata|Dinophyta|Syndiniales|MALV-II|MALV-II-Clade-4|Amoebophrya|Amoebophrya+ceratii,10.1111/j.1550-7408.2002.tb00230.x;10.1016/j.protis.2010.12.001
68_1,par,c5a43e29f5e20b47764df6cb6556064e,Eukaryota|Alveolata|Dinophyta|Syndiniales|MALV-II|MALV-II-Clade-3|Amoebophrya,10.1111/j.1550-7408.2002.tb00230.x;10.1016/j.protis.2010.12.001
68_1,par,37a85b0f98150aa0307c8c341a9dd278,Eukaryota|Alveolata|Dinophyta|Syndiniales|MALV-II|MALV-II-Clade-33|Amoebophrya|Amoebophrya+sp.,10.1111/j.1550-7408.2002.tb00230.x;10.1016/j.protis.2010.12.001
68_1,par,c208c794ebc3b55152efc084b42ef491,Eukaryota|Alveolata|Dinophyta|Syndiniales|MALV-II|MALV-II-Clade-4|Amoebophrya|Amoebophrya+sp.,10.1111/j.1550-7408.2002.tb00230.x;10.1016/j.protis.2010.12.001
